,metadata/Embedding model,metadata/Decoding config,metadata/Date,metadata/Model name,metadata/Dataset name,I(text -> summary),H(summary),H(summary|text),I(summary -> text),H(text),H(test|summary),mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/l2,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/l1,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/dot,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/kl,cardiffnlp_tweet-topic-21-multi/l2,cardiffnlp_tweet-topic-21-multi/l1,cardiffnlp_tweet-topic-21-multi/dot,cardiffnlp_tweet-topic-21-multi/kl,SamLowe_roberta-base-go_emotions/l2,SamLowe_roberta-base-go_emotions/l1,SamLowe_roberta-base-go_emotions/dot,SamLowe_roberta-base-go_emotions/kl,wesleyacheng_news-topic-classification-with-bert/l2,wesleyacheng_news-topic-classification-with-bert/l1,wesleyacheng_news-topic-classification-with-bert/dot,wesleyacheng_news-topic-classification-with-bert/kl,wesleyacheng_news-topic-classification-with-bert/proba_of_error
facebook_bart-large-cnn-_-arxiv-_-beam_sampling_long-_-2023-11-04-00-53-28,paraphrase-MiniLM-L6-v2,beam_sampling_long,2023-11-04-00-53-28,facebook_bart-large-cnn,arxiv,50.8552313076043,30.538569507950367,-20.31666179965393,50.67726207993786,27.94370587461092,-22.733556205326938,16.255010456852496,4.203814522732304,42.90253261335842,21.529539254215194,,,,,17.33461497586151,14.446585809184898,1162.7214949234672,222.84375828334265,1.9077226131522496,2.1870325558627983,28.37526374470373,18.88848232141933,0.0051242236024844
google_pegasus-large-_-peer_read-_-top_p_sampling-_-2023-11-03-22-55-58,paraphrase-MiniLM-L6-v2,top_p_sampling,2023-11-03-22-55-58,google_pegasus-large,peer_read,58.72325609306312,31.1943534294456,-27.52890266361752,48.85216930517727,20.533307839356965,-28.31886146582031,34.1070729728896,7.030805758234194,23.13034217193586,22.46200615302503,,,,,55.945457591371664,26.56676090571129,1022.808953764096,213.80490110438168,2.202659225934376,2.1423463778894978,26.575988299766447,17.92321389632852,0.0073394495412844
google_pegasus-multi_news_peer_read_top_p_sampling_2023-10-31-01-32-05,,,,,,,,,,,,35.22547698398178,7.535649671831627,18.179593107751387,20.26886614557436,,,,,83.49970336879065,33.96712516615515,1001.6718770531704,215.99307575750788,1.927035322822972,2.113577090317685,29.86226875701811,19.887577757412505,0.0061162079510703
google_pegasus-multi_news-_-peer_read-_-beam_search_long-_-2023-11-03-23-30-50,paraphrase-MiniLM-L6-v2,beam_search_long,2023-11-03-23-30-50,google_pegasus-multi_news,peer_read,55.97897749501266,27.988750514092967,-27.990226980919697,48.642686849704944,20.48645318440905,-28.156233665295893,33.12889468342462,7.192994458303539,17.929131013519537,19.3007027025252,,,,,74.65055830252645,31.875553026695133,998.5313943565438,208.52260339952755,1.3025864298144976,1.7675297103981724,31.038438803048678,20.45369605259793,0.0030581039755351
google_pegasus-large-_-rotten_tomatoes-_-beam_search_long-_-2023-11-03-23-07-41,paraphrase-MiniLM-L6-v2,beam_search_long,2023-11-03-23-07-41,google_pegasus-large,rotten_tomatoes,,76.47171477580187,,92.85228802108767,67.46672616572496,-25.385561855362724,2.992873120406739,0.8432933582867496,39.32064550702274,17.671498091363908,10.929508634452104,4.252179269027152,358.9813829284668,125.20057250595092,9.131599570129785,4.71096986477538,969.312730444336,193.4832442245484,0.4944613447304573,0.4798924235601676,3.164681521390751,9.974992205142977,0.1056
sshleifer_distill-pegasus-cnn-16-4-_-peer_read-_-top_p_sampling-_-2023-11-03-22-23-02,paraphrase-MiniLM-L6-v2,top_p_sampling,2023-11-03-22-23-02,sshleifer_distill-pegasus-cnn-16-4,peer_read,63.65089507030056,35.96703439215107,-27.68386067814949,49.12146602712275,20.47653023056133,-28.64493579656142,31.45146363324469,6.609651529242139,24.79052124245816,22.32482839870161,,,,,66.21017734712787,29.000770465168383,1025.7928619478091,218.93044060290043,2.9802418059629563,2.6749256060393214,25.92064452874916,17.730729793700238,0.0048929663608562
google_pegasus-large_rotten_tomatoes_top_p_sampling_2023-10-31-01-50-59,,,,,,,,,,,,2.992862830450715,0.8432644399727695,39.32043353230655,17.671415744447707,10.929554086125224,4.252413486897386,358.98071297607424,125.20019238815308,9.13160616510773,4.711073153235158,969.313037109375,193.48318682403564,0.4944505016841451,0.4799023689222289,3.1647057232607154,9.975007487773896,0.1056
sshleifer_distill-pegasus-cnn-16-4-_-xsum-_-beam_search_short-_-2023-11-03-22-41-30,paraphrase-MiniLM-L6-v2,beam_search_short,2023-11-03-22-41-30,sshleifer_distill-pegasus-cnn-16-4,xsum,128.03526391067504,177.04741459651106,49.012150685836026,43.37701508789062,34.00653424143903,-9.370480846451592,50.25626226944071,8.753964180439711,19.986187184119224,27.39895280742645,,,,,89.08775082875192,37.060300561761856,969.415221447754,261.27367668762207,15.634144835116714,6.050315879675746,6.025889790993743,12.994316705417631,0.5631
google_pegasus-large-_-xsum-_-beam_sampling_short-_-2023-11-03-22-49-47,paraphrase-MiniLM-L6-v2,beam_sampling_short,2023-11-03-22-49-47,google_pegasus-large,xsum,115.33336579055783,163.03814795527572,47.70478216471786,39.43272070465088,34.01832455668561,-5.414396147965265,52.16423634667378,8.930687568575143,19.632562830418347,27.9282006649971,,,,,91.18885939994156,37.53113468465805,976.006536730957,260.7392364730835,17.430255105954593,6.494052316879481,3.5664978990728966,11.764861318683623,0.6135
sshleifer_distill-pegasus-cnn-16-4-_-xsum-_-top_p_sampling-_-2023-11-03-22-54-58,paraphrase-MiniLM-L6-v2,top_p_sampling,2023-11-03-22-54-58,sshleifer_distill-pegasus-cnn-16-4,xsum,64.10514165191653,56.00494187541122,-8.100199776505303,51.60164300689696,33.998604946089905,-17.603038060807062,23.203904410888285,5.48670135435611,24.91056239579767,20.350164840221407,,,,,45.19414511867016,24.4117312251091,919.7070026428224,201.54385366744995,5.603103890004381,3.473339688292891,17.59741824091431,17.20661207637787,0.2952
google_pegasus-large_peer_read_beam_sampling_longer_2023-11-01-19-32-10,,,,,,,,,,,,33.11461154787093,6.891388109216996,23.12600823168725,22.093667473632625,,,,,54.03052064698389,26.00167330146201,1020.6485569198562,211.82672281527732,2.111629182800358,2.054551167303087,26.851813194656955,18.06817059881461,0.0067278287461773
google_pegasus-large-_-xsum-_-beam_sampling_long-_-2023-11-03-23-48-35,paraphrase-MiniLM-L6-v2,beam_sampling_long,2023-11-03-23-48-35,google_pegasus-large,xsum,51.59183354339601,46.71494261241072,-4.876890930985285,48.01126889953613,34.046583887435126,-13.964685012101006,21.522900114289687,5.359072878292203,24.585562003249954,19.60163425998688,,,,,41.998551872700496,23.48869193111956,927.7942047607422,201.7132376739502,4.157362185242499,2.9132789112709463,17.592415166957675,16.482334509181975,0.2518
